Clans,Pfam_List,Pfam_List_in_combine
CL0154,"['PF00168', 'PF00792', 'PF03366', 'PF06468', 'PF06744', 'PF07162', 'PF07657', 'PF08174', 'PF10358', 'PF10409', 'PF11618', 'PF14186', 'PF14429', 'PF14909', 'PF14924', 'PF15625', 'PF15627', 'PF15729', 'PF18111', 'PF18695', 'PF20305', 'PF21494']","['PF00792', 'PF03366', 'PF06468', 'PF07162', 'PF07657', 'PF08174', 'PF10358', 'PF10409', 'PF11618', 'PF14186', 'PF14429', 'PF14909', 'PF15625', 'PF15627', 'PF15729', 'PF18111', 'PF18695']"
CL0155,"['PF01607', 'PF03427']",[]
CL0156,"['PF00945', 'PF00973', 'PF03246', 'PF05505', 'PF06407']",['PF06407']
CL0157,"['PF02616', 'PF04824']",['PF04824']
CL0158,"['PF01074', 'PF01522', 'PF03065', 'PF03746', 'PF04748', 'PF04794', 'PF09960', 'PF10096', 'PF12979', 'PF14323', 'PF15421']","['PF01074', 'PF04794']"
CL0159,"['PF00028', 'PF00041', 'PF00047', 'PF00100', 'PF00207', 'PF00287', 'PF00345', 'PF00630', 'PF00635', 'PF00703', 'PF00801', 'PF00868', 'PF00927', 'PF00932', 'PF00943', 'PF00960', 'PF01108', 'PF01345', 'PF01357', 'PF01537', 'PF01567', 'PF01688', 'PF01833', 'PF01835', 'PF01880', 'PF02010', 'PF02014', 'PF02019', 'PF02115', 'PF02124', 'PF02368', 'PF02369', 'PF02440', 'PF02480', 'PF02494', 'PF02753', 'PF02832', 'PF02883', 'PF02903', 'PF02927', 'PF02960', 'PF03067', 'PF03160', 'PF03168', 'PF03174', 'PF03404', 'PF03442', 'PF03443', 'PF03504', 'PF03524', 'PF03723', 'PF03785', 'PF03921', 'PF04234', 'PF04379', 'PF04729', 'PF04775', 'PF04881', 'PF05031', 'PF05109', 'PF05326', 'PF05345', 'PF05351', 'PF05566', 'PF05587', 'PF05688', 'PF05753', 'PF05790', 'PF05963', 'PF06016', 'PF06030', 'PF06214', 'PF06280', 'PF06312', 'PF06328', 'PF06776', 'PF06832', 'PF07092', 'PF07140', 'PF07198', 'PF07233', 'PF07354', 'PF07495', 'PF07523', 'PF07532', 'PF07610', 'PF07654', 'PF07677', 'PF07679', 'PF07686', 'PF07703', 'PF07705', 'PF07711', 'PF07718', 'PF08191', 'PF08204', 'PF08205', 'PF08266', 'PF08329', 'PF08428', 'PF08441', 'PF08481', 'PF08522', 'PF08752', 'PF08758', 'PF08770', 'PF08779', 'PF09067', 'PF09085', 'PF09087', 'PF09099', 'PF09100', 'PF09118', 'PF09134', 'PF09136', 'PF09191', 'PF09238', 'PF09240', 'PF09291', 'PF09294', 'PF09394', 'PF09459', 'PF09619', 'PF10029', 'PF10179', 'PF10342', 'PF10365', 'PF10420', 'PF10430', 'PF10610', 'PF10633', 'PF10634', 'PF10648', 'PF11412', 'PF11465', 'PF11545', 'PF11551', 'PF11589', 'PF11606', 'PF11614', 'PF11754', 'PF11766', 'PF11806', 'PF11838', 'PF11896', 'PF11940', 'PF11974', 'PF12007', 'PF12093', 'PF12245', 'PF12262', 'PF12371', 'PF12505', 'PF12567', 'PF12580', 'PF12628', 'PF12690', 'PF12733', 'PF12744', 'PF12751', 'PF12975', 'PF12988', 'PF13004', 'PF13205', 'PF13287', 'PF13290', 'PF13501', 'PF13573', 'PF13584', 'PF13585', 'PF13629', 'PF13750', 'PF13752', 'PF13753', 'PF13754', 'PF13786', 'PF13860', 'PF13895', 'PF13927', 'PF14292', 'PF14310', 'PF14467', 'PF14524', 'PF14545', 'PF14610', 'PF14646', 'PF14734', 'PF14874', 'PF14888', 'PF14930', 'PF15028', 'PF15096', 'PF15418', 'PF15780', 'PF15886', 'PF15910', 'PF16132', 'PF16158', 'PF16179', 'PF16184', 'PF16215', 'PF16219', 'PF16258', 'PF16323', 'PF16343', 'PF16353', 'PF16355', 'PF16370', 'PF16379', 'PF16389', 'PF16390', 'PF16392', 'PF16400', 'PF16403', 'PF16407', 'PF16556', 'PF16562', 'PF16578', 'PF16583', 'PF16586', 'PF16640', 'PF16655', 'PF16656', 'PF16680', 'PF16681', 'PF16706', 'PF16709', 'PF16723', 'PF16758', 'PF16794', 'PF16820', 'PF16893', 'PF16967', 'PF16974', 'PF17048', 'PF17116', 'PF17142', 'PF17425', 'PF17622', 'PF17655', 'PF17725', 'PF17735', 'PF17736', 'PF17737', 'PF17744', 'PF17751', 'PF17753', 'PF17756', 'PF17766', 'PF17786', 'PF17789', 'PF17790', 'PF17791', 'PF17803', 'PF17808', 'PF17812', 'PF17813', 'PF17892', 'PF17936', 'PF17957', 'PF17960', 'PF17961', 'PF17962', 'PF17963', 'PF17964', 'PF17967', 'PF17970', 'PF17971', 'PF17972', 'PF17973', 'PF17990', 'PF18000', 'PF18001', 'PF18003', 'PF18020', 'PF18200', 'PF18202', 'PF18207', 'PF18316', 'PF18368', 'PF18370', 'PF18421', 'PF18432', 'PF18435', 'PF18447', 'PF18452', 'PF18518', 'PF18565', 'PF18589', 'PF18611', 'PF18630', 'PF18649', 'PF18673', 'PF18674', 'PF18683', 'PF18703', 'PF18705', 'PF18707', 'PF18861', 'PF18911', 'PF18938', 'PF18957', 'PF18962', 'PF18981', 'PF19010', 'PF19019', 'PF19076', 'PF19077', 'PF19078', 'PF19081', 'PF19092', 'PF19190', 'PF19406', 'PF19408', 'PF19433', 'PF19543', 'PF19743', 'PF19910', 'PF20144', 'PF20164', 'PF20238', 'PF20251', 'PF20264', 'PF20578', 'PF20579', 'PF20622', 'PF20676', 'PF20677', 'PF20679', 'PF20682', 'PF20775', 'PF20805', 'PF20806', 'PF20942', 'PF20943', 'PF20989', 'PF21027', 'PF21060', 'PF21061', 'PF21112', 'PF21142', 'PF21145', 'PF21146', 'PF21160', 'PF21171', 'PF21172', 'PF21177', 'PF21200', 'PF21223', 'PF21226', 'PF21310', 'PF21339', 'PF21426', 'PF21460', 'PF21461', 'PF21520', 'PF21577', 'PF21601', 'PF21602', 'PF21604', 'PF21605', 'PF21633', 'PF21764']","['PF00207', 'PF00287', 'PF00630', 'PF00635', 'PF00703', 'PF00801', 'PF00868', 'PF00927', 'PF00932', 'PF01108', 'PF01835', 'PF02010', 'PF02014', 'PF02019', 'PF02115', 'PF02494', 'PF02883', 'PF03160', 'PF03404', 'PF03921', 'PF04379', 'PF04729', 'PF04775', 'PF05326', 'PF05351', 'PF05587', 'PF05790', 'PF06214', 'PF06312', 'PF06328', 'PF07092', 'PF07140', 'PF07354', 'PF07703', 'PF07711', 'PF07718', 'PF08204', 'PF08752', 'PF08758', 'PF09067', 'PF09085', 'PF09191', 'PF09238', 'PF09240', 'PF09291', 'PF10179', 'PF10420', 'PF10430', 'PF11465', 'PF11838', 'PF12371', 'PF12567', 'PF12580', 'PF13287', 'PF14545', 'PF14646', 'PF15028', 'PF15096', 'PF15780', 'PF15910', 'PF16158', 'PF16179', 'PF16556', 'PF16562', 'PF16656', 'PF16680', 'PF16706', 'PF16794', 'PF17048', 'PF17655', 'PF17725', 'PF17736', 'PF17737', 'PF17744', 'PF17751', 'PF17753', 'PF17756', 'PF17786', 'PF17789', 'PF17790', 'PF17791', 'PF17812', 'PF17813', 'PF17960', 'PF17971', 'PF18001', 'PF18020', 'PF18207', 'PF18432', 'PF18447', 'PF18452', 'PF18589', 'PF18611', 'PF18703', 'PF18707', 'PF18861', 'PF19433', 'PF19743', 'PF20144']"
CL0161,"['PF00360', 'PF01590', 'PF01614', 'PF01628', 'PF03472', 'PF03928', 'PF04340', 'PF06018', 'PF07701', 'PF09884', 'PF11152', 'PF11849', 'PF12282', 'PF13185', 'PF13492', 'PF14215', 'PF15714', 'PF18007', 'PF18092']",['PF07701']
CL0163,"['PF00149', 'PF04042', 'PF06874', 'PF09423', 'PF09587', 'PF12850', 'PF13258', 'PF13277', 'PF14582', 'PF19050', 'PF21663']","['PF04042', 'PF12850']"
CL0164,"['PF00431', 'PF02408', 'PF21308', 'PF21309', 'PF21406', 'PF21412', 'PF21765']",[]
CL0165,"['PF02743', 'PF03924', 'PF05228', 'PF05651', 'PF08269', 'PF08473', 'PF08521', 'PF08918', 'PF09308', 'PF09984', 'PF10114', 'PF10144', 'PF10388', 'PF13756', 'PF14827', 'PF16524', 'PF16736', 'PF16750', 'PF17149', 'PF17151', 'PF17152', 'PF17154', 'PF17155', 'PF17157', 'PF17200', 'PF17201', 'PF17202', 'PF17203', 'PF18698', 'PF18719']",['PF08473']
CL0166,"['PF00874', 'PF08270']",[]
CL0167,"['PF00105', 'PF00320', 'PF00412', 'PF00471', 'PF00641', 'PF00645', 'PF00935', 'PF01020', 'PF01096', 'PF01258', 'PF01396', 'PF01599', 'PF01667', 'PF01741', 'PF01780', 'PF01783', 'PF01807', 'PF01907', 'PF02150', 'PF02565', 'PF02591', 'PF03367', 'PF03604', 'PF03811', 'PF03966', 'PF04606', 'PF05129', 'PF05207', 'PF05265', 'PF05810', 'PF06093', 'PF06677', 'PF06689', 'PF06827', 'PF06839', 'PF07191', 'PF07282', 'PF07295', 'PF07754', 'PF08063', 'PF08271', 'PF08272', 'PF08273', 'PF08274', 'PF08772', 'PF08792', 'PF09151', 'PF09297', 'PF09526', 'PF09723', 'PF09845', 'PF09855', 'PF09889', 'PF09947', 'PF10005', 'PF10058', 'PF10122', 'PF10571', 'PF11023', 'PF11331', 'PF11682', 'PF11781', 'PF11792', 'PF12172', 'PF12677', 'PF12760', 'PF12773', 'PF12898', 'PF13101', 'PF13240', 'PF13248', 'PF13342', 'PF13408', 'PF13451', 'PF13453', 'PF13717', 'PF13719', 'PF13842', 'PF14311', 'PF14353', 'PF14354', 'PF14369', 'PF14690', 'PF14803', 'PF17032', 'PF17283', 'PF17915', 'PF18073', 'PF18319', 'PF18445', 'PF18912', 'PF20214', 'PF20864', 'PF21302', 'PF21319', 'PF21326', 'PF21344', 'PF21352', 'PF21372', 'PF21817']","['PF00471', 'PF00645', 'PF00935', 'PF01020', 'PF01096', 'PF01396', 'PF01599', 'PF01667', 'PF01780', 'PF01783', 'PF01907', 'PF02150', 'PF03367', 'PF03604', 'PF03966', 'PF05129', 'PF05207', 'PF06093', 'PF06677', 'PF06827', 'PF06839', 'PF08063', 'PF08271', 'PF08772', 'PF09297', 'PF10058', 'PF10571', 'PF11781', 'PF12773', 'PF13842', 'PF14369', 'PF18445']"
CL0168,"['PF00024', 'PF02430', 'PF07502', 'PF08276', 'PF08277', 'PF14295']","['PF00024', 'PF07502']"
CL0170,"['PF01085', 'PF01427', 'PF02557', 'PF03411', 'PF05951', 'PF08291', 'PF13539']",['PF01085']
CL0171,"['PF00316', 'PF00459', 'PF03320']","['PF00316', 'PF00459']"
CL0172,"['PF00085', 'PF00255', 'PF00462', 'PF00578', 'PF00837', 'PF01216', 'PF01257', 'PF01323', 'PF02114', 'PF02630', 'PF02798', 'PF02966', 'PF03190', 'PF03227', 'PF03960', 'PF04592', 'PF04756', 'PF04908', 'PF05047', 'PF05176', 'PF05768', 'PF05988', 'PF06053', 'PF06110', 'PF06764', 'PF06953', 'PF07315', 'PF07449', 'PF07511', 'PF07689', 'PF07912', 'PF07955', 'PF07976', 'PF08534', 'PF08806', 'PF09695', 'PF10262', 'PF10484', 'PF10568', 'PF10865', 'PF11009', 'PF13098', 'PF13192', 'PF13409', 'PF13417', 'PF13462', 'PF13728', 'PF13741', 'PF13743', 'PF13778', 'PF13848', 'PF13899', 'PF13905', 'PF13911', 'PF14595', 'PF17172', 'PF18078', 'PF18108', 'PF18400', 'PF18401', 'PF18402', 'PF18403', 'PF18485', 'PF18569', 'PF20029', 'PF20207', 'PF21021', 'PF21274']","['PF00255', 'PF00837', 'PF01216', 'PF01323', 'PF02114', 'PF02630', 'PF02966', 'PF03190', 'PF03227', 'PF04592', 'PF04756', 'PF04908', 'PF05047', 'PF06110', 'PF07912', 'PF08806', 'PF10262', 'PF10484', 'PF10568', 'PF13409', 'PF13778', 'PF13905', 'PF13911', 'PF17172', 'PF18108', 'PF18400', 'PF18401', 'PF18402', 'PF18403', 'PF18485', 'PF18569']"
CL0173,"['PF01582', 'PF08357', 'PF08937', 'PF10137', 'PF13676', 'PF18567']","['PF08357', 'PF18567']"
CL0174,"['PF02909', 'PF08359', 'PF08360', 'PF08361', 'PF08362', 'PF08511', 'PF09209', 'PF13305', 'PF13972', 'PF13977', 'PF14246', 'PF14278', 'PF14514', 'PF16295', 'PF16859', 'PF16914', 'PF16925', 'PF17754', 'PF17918', 'PF17920', 'PF17922', 'PF17923', 'PF17924', 'PF17925', 'PF17926', 'PF17928', 'PF17929', 'PF17931', 'PF17932', 'PF17933', 'PF17934', 'PF17935', 'PF17937', 'PF17938', 'PF17939', 'PF17940', 'PF18285', 'PF18556', 'PF18598', 'PF18665', 'PF19344', 'PF19352', 'PF21256', 'PF21303', 'PF21306', 'PF21313', 'PF21351', 'PF21542', 'PF21597', 'PF21626', 'PF21776']",['PF08511']
CL0175,"['PF01246', 'PF01753', 'PF03884', 'PF04438', 'PF04570', 'PF04945', 'PF05573', 'PF06467', 'PF08394', 'PF10013', 'PF12156', 'PF13824', 'PF15801']","['PF01246', 'PF04438', 'PF06467', 'PF15801']"
CL0176,"['PF02949', 'PF03268', 'PF06151', 'PF08395']",[]
CL0177,"['PF00405', 'PF00496', 'PF00497', 'PF00800', 'PF01379', 'PF01547', 'PF01634', 'PF02030', 'PF02621', 'PF03180', 'PF03401', 'PF03466', 'PF03480', 'PF04069', 'PF06646', 'PF09084', 'PF10613', 'PF12727', 'PF12849', 'PF12916', 'PF12974', 'PF13343', 'PF13379', 'PF13416', 'PF13531', 'PF14503', 'PF16868']","['PF00405', 'PF01379']"
CL0178,"['PF01472', 'PF01878', 'PF02182', 'PF02190', 'PF03657', 'PF04033', 'PF04146', 'PF04266', 'PF08819', 'PF09142', 'PF09157', 'PF09627', 'PF10763', 'PF12961', 'PF13636', 'PF14306', 'PF17785', 'PF18062', 'PF18491', 'PF20260']","['PF01472', 'PF01878', 'PF02182', 'PF02190', 'PF03657', 'PF04146', 'PF04266', 'PF14306']"
CL0179,"['PF01068', 'PF01071', 'PF01326', 'PF01331', 'PF01653', 'PF02222', 'PF02655', 'PF02750', 'PF02786', 'PF02955', 'PF03133', 'PF03738', 'PF04174', 'PF05770', 'PF06973', 'PF07065', 'PF07478', 'PF08442', 'PF08443', 'PF09414', 'PF09511', 'PF13535', 'PF13549', 'PF14243', 'PF14305', 'PF14397', 'PF14398', 'PF14403', 'PF15632', 'PF16542', 'PF18299', 'PF18419', 'PF19043', 'PF21004', 'PF21798']","['PF01068', 'PF01071', 'PF01331', 'PF02750', 'PF02786', 'PF03133', 'PF05770', 'PF07065', 'PF08442', 'PF08443']"
CL0181,"['PF01061', 'PF02588', 'PF03379', 'PF06182', 'PF06422', 'PF09847', 'PF10920', 'PF12040', 'PF12051', 'PF12679', 'PF12698', 'PF12730', 'PF13346', 'PF16949', 'PF16962', 'PF19055', 'PF19700']",[]
CL0182,"['PF00939', 'PF02040', 'PF02447', 'PF02652', 'PF02667', 'PF03124', 'PF03553', 'PF03600', 'PF03605', 'PF03606', 'PF03773', 'PF03806', 'PF04165', 'PF04346', 'PF06450', 'PF06808', 'PF07158', 'PF07399', 'PF07854', 'PF11449', 'PF13726', 'PF16980']","['PF00939', 'PF03124']"
CL0183,"['PF00989', 'PF07310', 'PF08348', 'PF08446', 'PF08447', 'PF08448', 'PF08670', 'PF12860', 'PF13188', 'PF13426', 'PF13596', 'PF14598', 'PF16527', 'PF17765', 'PF18095', 'PF18225', 'PF18621', 'PF21043', 'PF21085', 'PF21353', 'PF21370', 'PF21563', 'PF21815']",[]
CL0184,"['PF00892', 'PF00893', 'PF02535', 'PF02537', 'PF02694', 'PF03151', 'PF04142', 'PF04342', 'PF04657', 'PF05653', 'PF06027', 'PF06379', 'PF06800', 'PF07168', 'PF07857', 'PF08449', 'PF08627', 'PF10639', 'PF13536', 'PF16913', 'PF16965', 'PF19451']","['PF06027', 'PF07857', 'PF10639']"
CL0186,"['PF00058', 'PF00064', 'PF00400', 'PF00415', 'PF00423', 'PF00780', 'PF00930', 'PF01011', 'PF01344', 'PF01394', 'PF01403', 'PF01436', 'PF01453', 'PF01731', 'PF01839', 'PF02012', 'PF02191', 'PF02239', 'PF02333', 'PF02897', 'PF03022', 'PF03055', 'PF03088', 'PF03089', 'PF03178', 'PF03451', 'PF03478', 'PF03984', 'PF04053', 'PF04762', 'PF04841', 'PF05096', 'PF05131', 'PF05220', 'PF05567', 'PF05694', 'PF05787', 'PF05935', 'PF06433', 'PF06462', 'PF06739', 'PF06977', 'PF07250', 'PF07433', 'PF07494', 'PF07569', 'PF07646', 'PF07676', 'PF07734', 'PF07893', 'PF07938', 'PF07995', 'PF08149', 'PF08168', 'PF08268', 'PF08309', 'PF08310', 'PF08450', 'PF08553', 'PF08596', 'PF08662', 'PF08801', 'PF08953', 'PF09826', 'PF10168', 'PF10214', 'PF10282', 'PF10313', 'PF10433', 'PF10647', 'PF11635', 'PF11715', 'PF11768', 'PF11949', 'PF12195', 'PF12217', 'PF12256', 'PF12265', 'PF12275', 'PF12341', 'PF12378', 'PF12566', 'PF12657', 'PF12768', 'PF12859', 'PF12894', 'PF13088', 'PF13360', 'PF13415', 'PF13418', 'PF13449', 'PF13517', 'PF13540', 'PF13570', 'PF13854', 'PF13859', 'PF13964', 'PF13970', 'PF14157', 'PF14269', 'PF14298', 'PF14312', 'PF14339', 'PF14583', 'PF14655', 'PF14727', 'PF14761', 'PF14779', 'PF14781', 'PF14783', 'PF14870', 'PF15390', 'PF15416', 'PF15492', 'PF15525', 'PF15702', 'PF15802', 'PF15869', 'PF15892', 'PF15899', 'PF15902', 'PF15907', 'PF15911', 'PF16023', 'PF16261', 'PF16287', 'PF16288', 'PF16300', 'PF16465', 'PF16472', 'PF16529', 'PF16687', 'PF16755', 'PF16756', 'PF16819', 'PF17005', 'PF17164', 'PF17170', 'PF18413', 'PF18638', 'PF18764', 'PF18793', 'PF18811', 'PF18975', 'PF19007', 'PF19056', 'PF19193', 'PF19520', 'PF20055', 'PF20067', 'PF20426', 'PF20641', 'PF20770', 'PF21029', 'PF21030', 'PF21031', 'PF21032', 'PF21034', 'PF21101', 'PF21348', 'PF21544', 'PF21548', 'PF21720', 'PF21734', 'PF21783']","['PF00930', 'PF01011', 'PF01394', 'PF01403', 'PF01436', 'PF01731', 'PF02191', 'PF02897', 'PF03055', 'PF03088', 'PF03089', 'PF03178', 'PF03451', 'PF04053', 'PF04762', 'PF04841', 'PF05131', 'PF05694', 'PF06462', 'PF07569', 'PF07646', 'PF07995', 'PF08149', 'PF08168', 'PF08450', 'PF08596', 'PF08662', 'PF08801', 'PF08953', 'PF10168', 'PF10433', 'PF11635', 'PF11768', 'PF12265', 'PF12341', 'PF12657', 'PF12859', 'PF13088', 'PF13570', 'PF14655', 'PF14727', 'PF14761', 'PF14779', 'PF14781', 'PF14783', 'PF15390', 'PF15492', 'PF15702', 'PF15802', 'PF15907', 'PF15911', 'PF16472', 'PF16529', 'PF16687', 'PF16756', 'PF19193', 'PF19520', 'PF20426']"
CL0187,"['PF01476', 'PF04225', 'PF05489', 'PF07880', 'PF09215', 'PF11246']",[]
CL0188,"['PF00307', 'PF03800', 'PF03801', 'PF06294', 'PF06395', 'PF10243', 'PF11971', 'PF18383', 'PF19016', 'PF19047', 'PF21670']","['PF03800', 'PF03801', 'PF06294', 'PF10243', 'PF11971', 'PF18383', 'PF19016', 'PF19047']"
CL0190,"['PF00011', 'PF04969', 'PF05455', 'PF17886', 'PF18201', 'PF18482', 'PF21413']","['PF04969', 'PF18201']"
CL0191,"['PF06898', 'PF07244', 'PF08478', 'PF08479', 'PF17243', 'PF17287']",[]
CL0193,"['PF00267', 'PF00577', 'PF00593', 'PF01103', 'PF01278', 'PF01298', 'PF01308', 'PF01389', 'PF01459', 'PF01617', 'PF01716', 'PF01856', 'PF02253', 'PF02264', 'PF02462', 'PF02521', 'PF02530', 'PF02722', 'PF03249', 'PF03349', 'PF03502', 'PF03573', 'PF03687', 'PF03768', 'PF03769', 'PF03797', 'PF03865', 'PF03895', 'PF03922', 'PF04338', 'PF04453', 'PF04575', 'PF04966', 'PF05150', 'PF05275', 'PF05420', 'PF05538', 'PF05540', 'PF05736', 'PF06082', 'PF06178', 'PF06316', 'PF06629', 'PF06727', 'PF06788', 'PF06980', 'PF07017', 'PF07239', 'PF07396', 'PF07437', 'PF07585', 'PF07642', 'PF08794', 'PF08896', 'PF09381', 'PF09411', 'PF09694', 'PF09982', 'PF10082', 'PF10626', 'PF10677', 'PF10895', 'PF11059', 'PF11231', 'PF11276', 'PF11336', 'PF11383', 'PF11389', 'PF11557', 'PF11751', 'PF11853', 'PF11854', 'PF11924', 'PF12094', 'PF12097', 'PF12099', 'PF12519', 'PF12600', 'PF13161', 'PF13283', 'PF13372', 'PF13505', 'PF13557', 'PF13568', 'PF13609', 'PF13729', 'PF14052', 'PF14121', 'PF14391', 'PF14905', 'PF15283', 'PF16128', 'PF16412', 'PF16435', 'PF16518', 'PF16930', 'PF16939', 'PF16941', 'PF16946', 'PF16956', 'PF16960', 'PF16961', 'PF16966', 'PF17036', 'PF17251', 'PF17271', 'PF18939', 'PF18990', 'PF19089', 'PF19143', 'PF19313', 'PF19413', 'PF19494', 'PF19515', 'PF19572', 'PF19573', 'PF19577', 'PF19783', 'PF19838', 'PF20230', 'PF20351', 'PF20367', 'PF20371', 'PF20507', 'PF20937', 'PF21012', 'PF21197', 'PF21620']","['PF01103', 'PF01459']"
CL0194,"['PF00136', 'PF03175', 'PF03337', 'PF08490', 'PF20286']","['PF00136', 'PF08490']"
CL0195,"['PF03011', 'PF05424']",[]
CL0196,"['PF00035', 'PF00333', 'PF03368', 'PF04098', 'PF14709', 'PF14954', 'PF16482', 'PF17842', 'PF17895', 'PF20932']","['PF00333', 'PF04098', 'PF14954', 'PF16482']"
CL0197,"['PF01912', 'PF02274', 'PF03068', 'PF04371', 'PF04996', 'PF19420', 'PF21778']","['PF01912', 'PF03068']"
CL0198,"['PF00633', 'PF00730', 'PF02371', 'PF03118', 'PF03934', 'PF04919', 'PF04994', 'PF06514', 'PF10391', 'PF11372', 'PF11731', 'PF11798', 'PF12482', 'PF12826', 'PF12836', 'PF14229', 'PF14490', 'PF14520', 'PF14579', 'PF14635', 'PF14716', 'PF17674', 'PF18094', 'PF20582', 'PF21016', 'PF21102', 'PF21176', 'PF21292', 'PF21616', 'PF21687', 'PF21698', 'PF21704', 'PF21790', 'PF21794']","['PF00633', 'PF10391', 'PF11798', 'PF12826', 'PF14635', 'PF14716', 'PF17674']"
CL0199,"['PF00967', 'PF01568', 'PF02015', 'PF02261', 'PF02359', 'PF03330', 'PF06725', 'PF07249', 'PF09263', 'PF12704']","['PF02359', 'PF09263']"
CL0200,"['PF01920', 'PF02996', 'PF13758']","['PF01920', 'PF02996']"
CL0201,"['PF00716', 'PF03420', 'PF04586', 'PF09979', 'PF14550', 'PF20034']",[]
CL0202,"['PF00052', 'PF00055', 'PF00754', 'PF01067', 'PF01404', 'PF01483', 'PF01834', 'PF02018', 'PF02837', 'PF03170', 'PF03256', 'PF03422', 'PF03424', 'PF03425', 'PF03426', 'PF03505', 'PF03561', 'PF03944', 'PF04151', 'PF04300', 'PF04620', 'PF04721', 'PF04862', 'PF06201', 'PF06366', 'PF06588', 'PF07696', 'PF07738', 'PF07828', 'PF08305', 'PF08530', 'PF08531', 'PF08547', 'PF08980', 'PF09092', 'PF09144', 'PF09212', 'PF11721', 'PF12103', 'PF12819', 'PF13201', 'PF13364', 'PF14324', 'PF14607', 'PF14683', 'PF14717', 'PF14896', 'PF15425', 'PF16391', 'PF16824', 'PF16841', 'PF16871', 'PF16990', 'PF17829', 'PF17991', 'PF17992', 'PF17993', 'PF17994', 'PF17996', 'PF17997', 'PF17999', 'PF18040', 'PF18099', 'PF18259', 'PF18276', 'PF18329', 'PF18344', 'PF18448', 'PF18539', 'PF18559', 'PF18560', 'PF21038', 'PF21104', 'PF21114', 'PF21174', 'PF21181', 'PF21199', 'PF21253', 'PF21254', 'PF21316', 'PF21317', 'PF21463', 'PF21466', 'PF21467', 'PF21471', 'PF21557', 'PF21582', 'PF21606', 'PF21615']","['PF00052', 'PF01067', 'PF01483', 'PF01834', 'PF02837', 'PF03256', 'PF03561', 'PF04300', 'PF04721', 'PF06201', 'PF06588', 'PF07738', 'PF08547', 'PF11721', 'PF13364', 'PF14324']"
CL0203,"['PF00553', 'PF00942', 'PF00963', 'PF03173', 'PF09478']",[]
CL0204,"['PF00419', 'PF03627', 'PF04619', 'PF05229', 'PF05737', 'PF05775', 'PF06551', 'PF09160', 'PF09222', 'PF09255', 'PF09460', 'PF10425', 'PF16364', 'PF16569', 'PF16970', 'PF17998', 'PF20595', 'PF20623', 'PF21462']",[]
CL0205,"['PF00264', 'PF00372']",['PF00264']
CL0207,"['PF01694', 'PF04511', 'PF08551', 'PF20401']","['PF04511', 'PF08551']"
CL0208,"['PF00179', 'PF05743', 'PF05773', 'PF08694', 'PF09765', 'PF14457', 'PF14459', 'PF14460', 'PF14461', 'PF14462', 'PF18210', 'PF18890', 'PF18891', 'PF20298', 'PF21539']","['PF05743', 'PF05773', 'PF08694', 'PF09765', 'PF18210', 'PF18890', 'PF18891']"
CL0209,"['PF00407', 'PF00848', 'PF01852', 'PF02121', 'PF02713', 'PF03364', 'PF04707', 'PF06240', 'PF06804', 'PF08327', 'PF08417', 'PF08982', 'PF10604', 'PF10698', 'PF11066', 'PF11274', 'PF11485', 'PF11687', 'PF11723', 'PF12723', 'PF16016', 'PF16797', 'PF18089', 'PF19112', 'PF19298', 'PF19299', 'PF19301', 'PF19569', 'PF20670']","['PF02121', 'PF03364', 'PF04707', 'PF16016']"
CL0210,"['PF02830', 'PF03500', 'PF04051', 'PF06505', 'PF07700', 'PF14196', 'PF18546']","['PF04051', 'PF07700']"
CL0212,"['PF07919', 'PF12584', 'PF12742']","['PF12584', 'PF12742']"
CL0213,"['PF01549', 'PF08562']","['PF01549', 'PF08562']"
CL0217,"['PF00434', 'PF05868']",[]
CL0219,"['PF00075', 'PF00665', 'PF00872', 'PF00929', 'PF01351', 'PF01359', 'PF01385', 'PF01526', 'PF01609', 'PF01610', 'PF01612', 'PF01949', 'PF02075', 'PF02171', 'PF02281', 'PF02482', 'PF02870', 'PF02914', 'PF02992', 'PF03050', 'PF03104', 'PF03184', 'PF03400', 'PF04250', 'PF04308', 'PF04493', 'PF04693', 'PF04827', 'PF04848', 'PF04857', 'PF06782', 'PF06869', 'PF07066', 'PF07592', 'PF08459', 'PF09153', 'PF09159', 'PF09281', 'PF09376', 'PF10108', 'PF10551', 'PF11074', 'PF12762', 'PF13017', 'PF13031', 'PF13333', 'PF13358', 'PF13359', 'PF13456', 'PF13482', 'PF13546', 'PF13586', 'PF13610', 'PF13612', 'PF13680', 'PF13683', 'PF13701', 'PF13737', 'PF13751', 'PF13843', 'PF16473', 'PF17288', 'PF17289', 'PF17290', 'PF17738', 'PF17917', 'PF17919', 'PF18049', 'PF18516', 'PF18758', 'PF18759', 'PF20441', 'PF20700', 'PF21056', 'PF21762', 'PF21787', 'PF21789', 'PF21804']","['PF01351', 'PF01359', 'PF02171', 'PF02870', 'PF03104', 'PF04493', 'PF04857', 'PF13017', 'PF13843', 'PF17738', 'PF18049']"
